JUMLAH MASA,BKO
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,5
36,5
37,5
38,5
39,5
40,5
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,7
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,8
58,8
59,8
60,8
61,8
62,8
63,8
64,8
65,8
66,9
67,9
68,9
69,9
70,9
71,9
72,9
73,9
74,9
75,9
76,9
77,10
78,10
79,10
80,10
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,11
104,11
105,11
106,11
107,11
108,11
109,11
110,11
111,11
112,11
113,11
114,11
115,11
116,11
117,11
118,11
119,11
120,11
121,11
122,11
123,11
124,11
125,11
126,11
127,11
128,11
129,11
130,11
131,11
132,11
133,11
134,11
135,11
136,11
137,11
138,11
139,11
140,11
141,12
142,12
143,12
144,12
145,12
146,12
147,12
148,12
149,12
150,12
151,12
152,12
153,12
154,12
155,12
156,12
157,12
158,12
159,12
160,12
161,12
162,12
163,12
164,12
165,12
